lat,long,PVOUT_csi (kWh/kWp),DNI (kWh/m2),GHI (kWh/m2),DIF (kWh/m2),GTI_opta (kWh/m2),OPTA (°),TEMP (°C),ELE (m)
24.0,78.5,1622.837890625, 1522.078125, 1895.203125, 867.2109375, 2065.25, 27, 24.5625, 538
19.0,79.0,1590.478759765625, 1432.5703125, 1928.5703125, 915.8984375, 2054.421875, 23, 28, 211
24.0,83.5,1574.196044921875, 1396.46875, 1858.8125, 900.8125, 2006.1875, 25, 24.9375, 370
20.0,72.0,1686.185546875, 1591.34375, 1990.7890625, 885.6015625, 2125.109375, 22, 26.6875, -29
18.0,76.0,1572.0477294921875, 1344.03125, 1913.234375, 961.8984375, 2020.53125, 21, 27.25, 528
12.0,77.5,1525.227294921875, 1343.703125, 1913.375, 921.3828125, 1963.109375, 15, 26.4375, 445
18.0,85.5,1542.8863525390625, 1275.90625, 1856.578125, 924.3828125, 1941.84375, 19, 27.375, -2396
30.0,78.5,1573.359130859375, 1391.1875, 1719.4140625, 803.265625, 1927.2109375, 31, 17.625, 1139
20.0,75.5,1613.191650390625, 1478.0859375, 1941.1875, 915.5234375, 2069.6171875, 23, 25.125, 682
22.0,82.5,1593.1915283203125, 1444.8984375, 1893.8671875, 893.15625, 2044.96875, 25, 26.875, 255
25.5,81.0,1520.0706787109375, 1242.609375, 1805.03125, 944.140625, 1942.4921875, 25, 26.0625, 102
25.5,75.5,1658.9501953125, 1598.7890625, 1949.3203125, 879.859375, 2141.6875, 28, 26.5625, 297
20.0,84.5,1490.9708251953125, 1251.890625, 1789.1328125, 901.4140625, 1908.046875, 23, 26.625, 194
13.0,77.5,1584.3009033203125, 1428.40625, 1932.1796875, 900.046875, 2001.40625, 17, 23.4375, 906
27.5,79.0,1503.9267578125, 1195.46875, 1766.359375, 947.765625, 1912.34375, 26, 24.9375, 160
27.0,75.5,1668.53857421875, 1567.1171875, 1922.640625, 890.03125, 2136.171875, 29, 25.125, 415
13.0,78.0,1608.00927734375, 1459.4921875, 1974.5234375, 915.8515625, 2037.6328125, 16, 23.75, 869
23.0,72.0,1714.8096923828125, 1802.4375, 2024.578125, 819.0625, 2216.7890625, 27, 27.5, 20
24.5,77.5,1634.126708984375, 1530.9609375, 1911.7578125, 879.96875, 2090.8984375, 27, 25.1875, 482
16.5,78.5,1611.556640625, 1457.75, 1969.8046875, 929.8515625, 2072.8515625, 21, 27.125, 419
20.0,81.5,1600.929931640625, 1522.71875, 1894.734375, 848.3125, 2044.1640625, 25, 24.6875, 648
20.0,76.0,1607.6173095703125, 1451.4453125, 1934.96875, 925.515625, 2064.1875, 23, 25.875, 572
23.0,77.5,1609.4501953125, 1494.8515625, 1896.90625, 879.8671875, 2061.65625, 26, 25.5, 500
20.0,72.5,1660.174072265625, 1529.2890625, 1961.1640625, 894.6484375, 2091.6875, 22, 26.625, -26
27.0,79.5,1508.2786865234375, 1199.3125, 1778.765625, 951.8359375, 1919.7265625, 25, 25.1875, 146
25.5,83.0,1490.418701171875, 1176.703125, 1775.1328125, 953.65625, 1898.71875, 24, 25.75, 78
