lat,long,h,wind_min, wind_max,power_ninth_decile,power_max
27.0,77.0,150,9.48, 9.51, 1001.42, 1001.65
23.5,72.5,150,9.28, 9.29, 957.42, 958.17
22.5,76.5,10,7.23, 7.24, 495.5, 495.63
26.5,80.5,150,8.42, 8.55, 797.44, 802.74
23.0,73.0,100,9.05, 9.07, 899.46, 899.76
21.0,72.0,150,9.09, 9.15, 961.79, 963.22
20.0,74.0,50,8.41, 8.47, 783.08, 783.9
23.5,78.0,100,6.93, 7.54, 535.34, 542.34
13.5,76.5,150,9.14, 9.22, 1017.19, 1022.32
21.0,78.0,100,7.04, 10.81, 1184.41, 1923.25
12.5,75.0,200,9.49, 9.51, 1114.69, 1115.49
28.5,75.0,150,9.36, 9.39, 953.7, 954.02
20.0,75.0,10,7.36, 7.37, 532.24, 532.66
14.5,78.0,100,5.29, 9.26, 696.49, 1309.21
14.5,76.5,10,7.14, 7.3, 568.12, 570.54
27.5,77.5,150,9.34, 9.38, 972.15, 972.8
23.0,80.5,50,6.86, 6.98, 496.94, 506.13
22.5,77.0,10,6.62, 6.97, 447.63, 473.95
31.0,76.5,200,9.41, 9.43, 986.8, 987.93
28.5,76.5,150,9.4, 9.42, 968, 969.6
20.0,78.0,10,5.6, 5.7, 308.6, 310.54
23.5,76.5,100,9.31, 9.33, 894.44, 894.79
24.5,79.0,200,7.99, 8.24, 779.54, 781.15
23.5,79.5,100,9.67, 10.55, 1450, 1517.46
12.5,77.0,10,6.51, 6.64, 454.87, 455.33
29.5,77.0,10,7.1, 7.1, 475.46, 476.05
29.5,76.5,10,7.1, 7.1, 474.77, 474.9
10.0,76.5,50,8.08, 8.13, 742.29, 742.63
23.5,81.0,100,8.44, 8.59, 764.75, 770.8
23.5,73.5,10,7.13, 7.14, 508.69, 508.95
23.5,80.5,50,6.73, 6.95, 473.48, 482.31
18.0,80.5,10,5.99, 6.26, 355.26, 361.68
22.0,79.5,10,5.88, 6.95, 506.72, 575.74
20.5,79.0,50,4.59, 8.23, 714.59, 1015.12
28.0,77.0,50,8.45, 8.48, 733.62, 734.04
35.5,78.0,50,8.42, 8.43, 725.98, 726.47
25.0,76.5,50,6.6, 11.8, 1282.75, 1912.96
12.0,77.0,150,8.52, 8.64, 852.64, 855.55
18.0,79.5,50,2.86, 5.72, 386.02, 626.16
21.5,75.5,200,9.73, 9.75, 1144.31, 1145.53
27.5,79.0,150,8.8, 8.92, 887.08, 892.6
12.5,77.0,200,8.59, 8.74, 904.5, 907.08
19.5,80.5,100,7.33, 7.71, 583.3, 604.11
32.0,78.5,200,9.27, 9.29, 1021.5, 1022.14
31.5,78.0,100,9.02, 9.06, 856.13, 856.46
14.0,75.0,200,9.52, 9.56, 1113.46, 1114.91
10.5,78.5,50,7.48, 7.85, 698.87, 739.06
12.0,78.0,100,8.2, 8.56, 727.36, 728.05
25.5,74.0,100,9.12, 9.14, 891.99, 892.36
29.0,75.0,10,7.18, 7.19, 495.85, 496.28
22.0,78.0,10,3.31, 8.48, 472.77, 1076.1
33.0,77.5,200,9.38, 9.41, 1016.88, 1017.48
15.5,75.0,100,9.31, 9.34, 999.61, 1000.4
